order_item_id,order_id,quantity,product_id,unit_price,discount(%),shipping_cost
OI000001,O00001,1,P28355,7020.0,6.54,713.72
OI000002,O00002,1,P04408,7590.0,20.56,1212.02
OI000003,O00002,2,P14887,14360.0,24.67,1478.39
OI000004,O00003,2,P02014,1530.0,12.06,155.12
OI000005,O00003,1,P27255,1560.0,10.51,188.03
OI000006,O00003,3,P20740,1090.0,6.3,54.7
OI000007,O00004,3,P22436,4200.0,5.56,211.85
OI000008,O00004,1,P24519,1310.0,2.84,131.5
OI000009,O00005,2,P07371,4220.0,18.73,425.97
OI000010,O00005,2,P22006,3340.0,8.72,510.21
OI000011,O00005,1,P14234,4820.0,6.49,389.9
OI000012,O00006,1,P00224,5040.0,11.13,611.22
OI000013,O00006,2,P25839,5370.0,6.54,543.55
OI000014,O00007,1,P21975,3880.0,14.28,391.52
OI000015,O00007,2,P15344,3540.0,12.46,178.46
OI000016,O00008,1,P14217,1250.0,9.19,127.79
OI000017,O00009,1,P01978,11480.0,16.31,1175.45
OI000018,O00010,1,P21859,13590.0,8.18,1771.67
OI000019,O00010,1,P13557,7170.0,10.2,876.18
OI000020,O00011,1,P16354,3330.0,8.57,402.62
OI000021,O00011,1,P04997,3030.0,6.78,365.99
OI000022,O00012,3,P03893,4470.0,17.04,547.85
OI000023,O00013,1,P31979,13430.0,17.4,1657.42
OI000024,O00014,1,P29740,250.0,2.88,25.01
OI000025,O00015,2,P05795,1750.0,13.14,87.84
OI000026,O00015,1,P28187,1180.0,1.9,142.02
OI000027,O00015,1,P24902,4390.0,9.36,541.91
OI000028,O00016,1,P04749,140.0,13.88,7.01
OI000029,O00016,1,P03384,1230.0,8.72,123.35
OI000030,O00017,1,P31645,8940.0,30.98,735.71
OI000031,O00018,1,P16001,700.0,9.76,105.54
OI000032,O00018,1,P30945,2730.0,0.41,277.33
OI000033,O00018,1,P18674,960.0,15.49,48.95
OI000034,O00019,1,P03554,4400.0,2.42,666.27
OI000035,O00019,2,P22078,2410.0,20.61,363.6
OI000036,O00019,2,P09196,4700.0,0.84,379.61
OI000037,O00020,1,P27423,11020.0,17.01,901.21
OI000038,O00021,1,P08268,5300.0,12.71,805.97
OI000039,O00021,1,P30857,4500.0,10.67,681.75
OI000040,O00021,3,P05372,2560.0,12.73,386.21
OI000041,O00022,1,P25337,2690.0,12.32,216.42
OI000042,O00022,1,P21729,2640.0,15.46,212.44
OI000043,O00023,1,P27358,5030.0,15.74,254.58
OI000044,O00023,1,P05052,600.0,5.59,30.07
OI000045,O00024,1,P16601,12180.0,11.15,1001.35
OI000046,O00024,1,P04907,7420.0,28.33,753.83
OI000047,O00024,1,P00496,12780.0,24.93,1311.05
OI000048,O00025,1,P24478,10410.0,19.43,549.24
OI000049,O00025,2,P04522,9330.0,16.53,475.34
OI000050,O00026,1,P09580,8160.0,11.71,830.87
OI000051,O00026,1,P30520,6600.0,20.07,334.59
OI000052,O00026,1,P00871,8440.0,25.38,1288.38
OI000053,O00027,1,P15258,18000.0,12.54,2241.22
OI000054,O00028,1,P07837,12830.0,25.59,658.86
OI000055,O00028,2,P17597,7740.0,19.88,393.22
OI000056,O00029,1,P28518,5300.0,2.37,428.83
OI000057,O00029,2,P14752,2190.0,1.5,220.9
OI000058,O00029,2,P07993,2020.0,3.29,204.23
OI000059,O00030,2,P04907,7420.0,12.47,376.91
OI000060,O00031,1,P00623,6040.0,13.3,489.28
OI000061,O00031,1,P01697,240.0,15.32,36.8
OI000062,O00032,1,P28845,2200.0,12.85,179.31
OI000063,O00032,1,P27997,3000.0,9.37,241.63
OI000064,O00032,1,P01334,4550.0,8.41,229.75
OI000065,O00033,2,P27445,2790.0,18.98,421.42
OI000066,O00033,1,P01581,410.0,22.04,61.56
OI000067,O00034,1,P21155,10010.0,14.52,1533.03
OI000068,O00034,1,P25707,11500.0,13.54,1784.0
OI000069,O00035,1,P08634,3090.0,6.32,374.69
OI000070,O00035,1,P04567,2820.0,6.55,226.94
OI000071,O00035,1,P15583,1900.0,11.83,152.7
OI000072,O00036,1,P15672,52060.0,26.89,4608.43
OI000073,O00037,1,P26525,6230.0,29.55,315.59
OI000074,O00037,1,P17659,13070.0,28.34,1081.72
OI000075,O00038,1,P20273,11330.0,29.27,1162.98
OI000076,O00039,1,P31574,18140.0,37.26,949.79
OI000077,O00040,1,P31228,11220.0,16.46,599.96
OI000078,O00040,1,P08532,7700.0,15.48,398.74
OI000079,O00041,1,P17324,12110.0,31.48,1242.27
OI000080,O00042,1,P04104,9270.0,27.64,944.93
