product_id,Category_name,sub_category_name,product_weight_g,brand,cost_price,selling_price,stock_availability
P00001,perfumery,Fragrances,225,Nivea,2200.0,2860.0,In Stock
P00002,art,General Merchandise,1000,Generic Global,110.0,140.0,In Stock
P00003,sports_leisure,General Merchandise,154,Generic Indian,14680.0,17170.0,In Stock
P00004,baby,Collectibles,371,Generic Indian,3890.0,4920.0,In Stock
P00005,housewares,Novelty Items,625,Generic Indian,12590.0,16220.0,In Stock
P00006,musical_instruments,Gifts,200,Generic Indian,14110.0,18700.0,In Stock
P00007,cool_stuff,General Merchandise,18350,Generic Indian,10210.0,12090.0,In Stock
P00008,furniture_decor,Dining Tables,900,Godrej Interio,111260.0,139600.0,Available on Demand
P00009,home_appliances,Curtains,400,IKEA,25880.0,29720.0,Limited Edition
P00010,toys,Novelty Items,600,Generic Indian,8610.0,11870.0,Available on Demand
P00011,bed_bath_table,Gifts,1100,Generic Indian,5710.0,7870.0,In Stock
P00012,baby,Gifts,7150,Generic Indian,3720.0,5190.0,In Stock
P00013,musical_instruments,Gifts,250,Generic Indian,8250.0,11700.0,In Stock
P00014,furniture_decor,Lamps,600,Urban Ladder,63310.0,78370.0,In Stock
P00015,construction_tools_safety,General Merchandise,200,Generic Indian,3190.0,4430.0,In Stock
P00016,sports_leisure,Gifts,800,Generic Indian,1380.0,1570.0,Available on Demand
P00017,perfumery,Ayurvedic,400,Lakme,2070.0,2860.0,In Stock
P00018,computers_accessories,Tablets,900,Lava,75510.0,86720.0,Limited Edition
P00019,furniture_decor,TV Units,1700,Urban Ladder,122970.0,143280.0,Available on Demand
P00020,bed_bath_table,General Merchandise,500,Generic Indian,4850.0,6390.0,In Stock
P00021,furniture_decor,Curtains,2550,Urban Ladder,61000.0,74700.0,In Stock
P00022,bed_bath_table,Gifts,800,Generic Indian,5860.0,8160.0,Available on Demand
P00023,health_beauty,Gifts,75,Generic Indian,9980.0,11290.0,In Stock
P00024,baby,Gifts,500,Generic Indian,260.0,370.0,In Stock
P00025,furniture_decor,TV Units,1800,Durian,72480.0,100710.0,In Stock
P00026,housewares,Gifts,900,Generic Indian,6630.0,9200.0,Low Stock
P00027,luggage_accessories,Gifts,3600,Generic Indian,10190.0,13130.0,In Stock
P00028,computers_accessories,Earbuds,300,Samsung,40870.0,43030.0,In Stock
P00029,computers_accessories,Laptops,740,iQOO,26480.0,29330.0,Available on Demand
P00030,sports_leisure,General Merchandise,3600,Generic Indian,14320.0,16550.0,In Stock
P00031,bed_bath_table,Collectibles,650,Generic Indian,6170.0,7180.0,In Stock
P00032,garden_tools,Gifts,2150,Generic Indian,4270.0,5100.0,In Stock
P00033,furniture_decor,Beds,800,Godrej Interio,46690.0,61580.0,Preorder
P00034,office_furniture,Mattresses,8950,Godrej Interio,39250.0,49890.0,Out of Stock
P00035,sports_leisure,Gifts,1388,Generic Indian,1340.0,1750.0,In Stock
P00036,baby,Collectibles,7950,Generic Indian,790.0,1120.0,Backordered
P00037,auto,Tyres,6000,BharatBenz,470.0,550.0,In Stock
P00038,electronics,Power Banks,263,Nikon,31220.0,33000.0,Low Stock
P00039,housewares,Gifts,3900,Generic Global,9750.0,12170.0,In Stock
P00040,furniture_decor,Wardrobes,600,Urban Ladder,30470.0,41150.0,In Stock
P00041,furniture_decor,TV Units,2050,Durian,36200.0,40720.0,In Stock
