customer_id,customer_zip_code,gender,age_group,customer_segment
C00001,690511,Female,36-45,Loyal
C00002,509152,Male,26-35,New
C00003,477335,Male,26-35,Loyal
C00004,140413,Female,65+,Loyal
C00005,700009,Male,26-35,Loyal
C00006,621107,Female,36-45,Returning
C00007,307023,Female,46-55,Loyal
C00008,686571,Male,26-35,Returning
C00009,673505,Female,18-25,New
C00010,758030,Female,36-45,Returning
C00011,230125,Male,46-55,New
C00012,854306,Male,46-55,New
C00013,518225,Male,56-65,Returning
C00014,246746,Female,36-45,New
C00015,465683,Male,36-45,New
C00016,396035,Female,26-35,New
C00017,768004,Female,36-45,New
C00018,680586,Male,46-55,Returning
C00019,135001,Male,46-55,New
C00020,221314,Male,56-65,New
C00021,577227,Female,36-45,Returning
C00022,781124,Male,46-55,Returning
C00023,110088,Male,36-45,New
C00024,389232,Female,26-35,New
C00025,680669,Male,26-35,Returning
C00026,736123,Male,46-55,Returning
C00027,458118,Male,65+,New
C00028,795001,Male,36-45,Returning
C00029,382820,Female,36-45,Loyal
C00030,456661,Male,26-35,Returning
C00031,800004,Female,18-25,Returning
C00032,735133,Female,36-45,Returning
C00033,403203,Male,36-45,New
C00034,313708,Female,36-45,New
C00035,629403,Male,46-55,New
C00036,605111,Female,26-35,New
C00037,176103,Male,36-45,New
C00038,509208,Male,26-35,New
C00039,691557,Male,18-25,New
C00040,636704,Male,46-55,New
C00041,442106,Male,18-25,New
C00042,173230,Male,56-65,New
C00043,494553,Male,36-45,Returning
C00044,741201,Male,26-35,Loyal
C00045,464986,Male,26-35,New
C00046,515164,Male,26-35,Loyal
C00047,832105,Female,26-35,New
C00048,742225,Male,18-25,New
C00049,465449,Male,26-35,New
C00050,503301,Female,26-35,New
C00051,581323,Male,36-45,New
C00052,332705,Female,36-45,Loyal
C00053,414403,Male,36-45,Returning
C00054,636503,Male,36-45,New
C00055,700055,Male,26-35,New
C00056,585419,Male,26-35,New
C00057,360575,Male,18-25,Returning
C00058,425114,Male,46-55,New
C00059,626134,Male,18-25,New
C00060,110010,Male,56-65,Loyal
C00061,571211,Female,36-45,New
C00062,756116,Male,46-55,New
C00063,173215,Male,36-45,New
C00064,583226,Male,26-35,Returning
C00065,676519,Female,46-55,New
C00066,283125,Male,46-55,New
C00067,563115,Male,56-65,Loyal
C00068,312615,Male,46-55,New
C00069,305402,Female,18-25,New
C00070,756113,Male,36-45,New
C00071,682003,Male,26-35,New
C00072,415302,Male,36-45,New
C00073,577501,Male,26-35,New
C00074,132113,Male,65+,New
C00075,754024,Male,36-45,Returning
C00076,614618,Male,36-45,Returning
C00077,531022,Male,18-25,New
C00078,638656,Female,36-45,New
C00079,852116,Male,18-25,New
C00080,563131,Male,56-65,New
C00081,610107,Female,26-35,New
C00082,585214,Female,18-25,New
C00083,383440,Male,26-35,Returning
C00084,110043,Male,36-45,New
C00085,530052,Female,46-55,New
C00086,388440,Male,36-45,New
C00087,370203,Male,56-65,New
C00088,332024,Male,65+,New
C00089,642132,Female,36-45,Loyal
C00090,530044,Male,26-35,New
C00091,486675,Male,18-25,Loyal
C00092,848121,Male,18-25,New
C00093,585326,Female,36-45,Returning
C00094,500016,Female,26-35,New
C00095,140133,Male,36-45,New
C00096,700134,Female,26-35,Loyal
C00097,605201,Male,18-25,New
C00098,828104,Male,56-65,Returning
C00099,851206,Male,26-35,New
C00100,742213,Male,36-45,New
C00101,678533,Male,26-35,New
C00102,584132,Female,26-35,New
C00103,689612,Male,56-65,New
C00104,803109,Male,36-45,New
C00105,517588,Male,36-45,New
C00106,271125,Male,56-65,Loyal
C00107,688527,Female,36-45,Loyal
C00108,232111,Female,36-45,New
C00109,755019,Male,46-55,Returning
C00110,622102,Female,46-55,Loyal
C00111,465697,Female,18-25,New
C00112,284205,Male,46-55,Returning
C00113,480108,Female,26-35,Returning
C00114,642003,Male,26-35,Returning
C00115,679357,Female,46-55,New
C00116,680721,Female,26-35,New
C00117,627818,Female,18-25,Loyal
C00118,847224,Female,65+,Loyal
C00119,110026,Female,18-25,Returning
C00120,848205,Female,36-45,Returning
C00121,110072,Male,26-35,New
C00122,229001,Female,36-45,Loyal
C00123,230135,Male,36-45,Returning
C00124,767062,Male,36-45,Loyal
C00125,516151,Male,26-35,Returning
C00126,815311,Female,36-45,Returning
C00127,521138,Female,36-45,Returning
C00128,422113,Female,65+,New
C00129,688529,Male,26-35,New
C00130,627802,Female,26-35,New
C00131,621305,Female,18-25,Loyal
C00132,535591,Female,36-45,New
C00133,312027,Male,26-35,Loyal
C00134,333032,Male,46-55,New
C00135,533220,Female,36-45,New
C00136,402111,Male,18-25,New
C00137,470221,Female,36-45,New
C00138,691522,Male,26-35,Returning
C00139,344026,Male,46-55,Loyal
C00140,485334,Female,65+,New
C00141,586124,Male,46-55,Returning
C00142,814116,Female,46-55,Returning
C00143,362004,Female,36-45,New
C00144,822110,Female,26-35,Returning
C00145,477447,Male,36-45,Returning
C00146,754012,Female,26-35,New
C00147,388640,Male,36-45,Returning
C00148,581186,Male,26-35,New
C00149,816109,Female,46-55,Returning
C00150,735204,Male,18-25,Returning
C00151,411008,Male,18-25,New
C00152,607108,Male,18-25,Returning
C00153,524344,Male,26-35,New
C00154,583117,Male,26-35,New
C00155,786623,Male,18-25,New
C00156,847452,Male,26-35,Returning
C00157,621707,Female,46-55,New
C00158,524126,Male,46-55,New
C00159,412216,Female,18-25,Returning
C00160,845431,Male,46-55,New
C00161,232336,Female,26-35,Loyal
C00162,794114,Male,46-55,Returning
C00163,765025,Male,26-35,New
C00164,209112,Female,26-35,New
C00165,413707,Female,36-45,Returning
C00166,250401,Male,46-55,Returning
C00167,591225,Male,36-45,New
C00168,847401,Female,18-25,Returning
C00169,733201,Female,26-35,Returning
C00170,841220,Female,18-25,Returning
C00171,403110,Male,26-35,Returning
C00172,793151,Male,26-35,New
C00173,493890,Female,36-45,Loyal
C00174,464334,Male,65+,Returning
C00175,322001,Male,36-45,Loyal
C00176,690110,Male,26-35,New
C00177,444602,Female,26-35,New
C00178,400707,Male,36-45,Returning
C00179,678005,Male,56-65,New
C00180,636457,Male,46-55,Returning
C00181,770033,Male,26-35,New
C00182,110059,Male,46-55,New
C00183,678642,Male,26-35,Returning
C00184,440020,Male,36-45,New
C00185,136128,Male,18-25,Returning
C00186,627756,Male,26-35,Returning
C00187,518442,Male,36-45,Loyal
C00188,570003,Male,36-45,Returning
C00189,532242,Male,26-35,New
C00190,151201,Male,36-45,New
C00191,683587,Male,36-45,Returning
C00192,533296,Male,36-45,New
C00193,402120,Female,26-35,Loyal
C00194,509380,Female,46-55,Loyal
C00195,506303,Female,36-45,New
C00196,272123,Female,26-35,New
C00197,124412,Female,36-45,Returning
C00198,600070,Female,56-65,Returning
C00199,788806,Male,36-45,New
C00200,362037,Male,26-35,New
C00201,712302,Male,26-35,Returning
C00202,221603,Male,46-55,New
C00203,673582,Male,26-35,New
C00204,271205,Male,46-55,New
C00205,606907,Male,36-45,Loyal
C00206,627418,Male,36-45,Returning
C00207,691552,Male,36-45,Returning
C00208,414304,Male,65+,Returning
C00209,394516,Male,18-25,Returning
C00210,203389,Male,36-45,New
C00211,731216,Female,36-45,Loyal
C00212,712258,Male,36-45,Returning
C00213,822123,Female,46-55,Returning
C00214,679123,Female,26-35,New
C00215,431713,Female,36-45,New
C00216,845454,Male,36-45,New
C00217,751030,Male,36-45,New
C00218,383345,Female,56-65,Returning
C00219,712513,Male,56-65,Returning
C00220,173211,Male,46-55,New
C00221,581104,Male,18-25,New
C00222,695501,Female,26-35,Loyal
C00223,641665,Female,36-45,Returning
C00224,505306,Male,36-45,New
C00225,384272,Female,26-35,New
C00226,415512,Male,56-65,New
C00227,515411,Male,46-55,Loyal
C00228,764062,Female,26-35,New
C00229,522403,Male,56-65,New
C00230,222162,Male,26-35,New
C00231,560003,Female,36-45,Returning
C00232,638656,Male,36-45,Returning
C00233,581148,Male,36-45,Returning
C00234,824203,Female,56-65,New
C00235,797107,Female,36-45,New
C00236,689590,Male,26-35,New
C00237,621307,Male,46-55,Returning
C00238,614614,Female,18-25,New
C00239,765024,Male,36-45,New
C00240,495661,Female,18-25,New
C00241,688524,Female,46-55,New
C00242,262405,Male,46-55,New
C00243,790116,Male,26-35,Loyal
C00244,799284,Male,46-55,Returning
C00245,742134,Male,26-35,Returning
C00246,761105,Male,26-35,New
C00247,713363,Male,18-25,New
C00248,722162,Male,26-35,Returning
C00249,761035,Male,36-45,New
C00250,382775,Male,46-55,New
C00251,136132,Female,26-35,New
C00252,122108,Female,46-55,Returning
C00253,416522,Male,46-55,Loyal
C00254,814158,Male,36-45,New
C00255,689509,Male,18-25,New
C00256,843321,Male,36-45,New
C00257,504101,Female,65+,Returning
C00258,613205,Male,65+,New
C00259,314036,Female,36-45,Returning
C00260,494347,Female,18-25,Loyal
C00261,144212,Male,26-35,New
C00262,754135,Male,36-45,New
C00263,504251,Male,26-35,Returning
C00264,263642,Female,36-45,Returning
C00265,495448,Male,36-45,Returning
C00266,465001,Male,36-45,Returning
C00267,385135,Female,26-35,New
C00268,245208,Male,18-25,Loyal
C00269,201305,Male,26-35,Returning
C00270,521321,Male,36-45,Returning
C00271,786171,Female,46-55,Returning
C00272,249001,Male,36-45,New
C00273,742223,Male,18-25,Returning
C00274,396030,Female,18-25,Returning
C00275,571617,Female,36-45,Loyal
C00276,721448,Female,26-35,Returning
C00277,484330,Male,36-45,New
C00278,176022,Male,36-45,New
C00279,110076,Female,36-45,Returning
C00280,758025,Male,36-45,Loyal
C00281,246453,Male,46-55,New
C00282,444101,Male,26-35,Returning
C00283,497119,Male,36-45,Loyal
C00284,573103,Male,36-45,Loyal
C00285,495113,Male,18-25,Returning
C00286,250103,Male,46-55,Loyal
C00287,208026,Male,36-45,New
C00288,174304,Female,46-55,Returning
C00289,518002,Male,36-45,Returning
C00290,560013,Male,26-35,New
C00291,752110,Female,46-55,New
C00292,521286,Male,36-45,Returning
C00293,301401,Male,18-25,New
C00294,670567,Male,36-45,Loyal
C00295,700036,Female,26-35,Returning
C00296,124104,Male,36-45,New
C00297,304024,Male,26-35,Loyal
C00298,609703,Male,26-35,Returning
C00299,752055,Female,26-35,Returning
C00300,413501,Male,56-65,Returning
C00301,144009,Female,65+,Loyal
C00302,784179,Male,46-55,Returning
C00303,639111,Male,56-65,New
C00304,712121,Male,36-45,New
C00305,583115,Female,26-35,Returning
C00306,365435,Male,36-45,New
C00307,532185,Male,46-55,Returning
C00308,743252,Male,56-65,New
C00309,574115,Female,36-45,New
C00310,788720,Male,26-35,New
C00311,306305,Male,36-45,New
C00312,272206,Female,36-45,Loyal
C00313,144630,Male,56-65,New
C00314,604501,Male,36-45,New
C00315,797103,Female,36-45,Returning
C00316,507159,Male,26-35,New
C00317,534202,Male,46-55,New
C00318,636301,Male,26-35,New
C00319,680553,Male,26-35,Returning
C00320,410401,Male,36-45,New
C00321,580005,Male,36-45,New
C00322,523335,Male,18-25,Returning
C00323,561205,Female,46-55,New
C00324,641050,Female,36-45,New
C00325,413220,Male,65+,Loyal
C00326,144520,Female,26-35,New
C00327,172032,Female,26-35,Loyal
C00328,768222,Male,46-55,New
C00329,506135,Male,36-45,Returning
C00330,787058,Male,26-35,New
C00331,148025,Male,36-45,Loyal
C00332,695568,Male,36-45,Returning
C00333,623514,Male,18-25,Returning
C00334,518344,Male,46-55,Returning
C00335,110047,Male,26-35,Returning
C00336,695027,Male,26-35,Loyal
C00337,247232,Male,46-55,Returning
C00338,342014,Female,36-45,New
C00339,177027,Male,26-35,Returning
C00340,505531,Male,26-35,New
C00341,828121,Male,26-35,New
C00342,814103,Male,36-45,Loyal
C00343,732101,Male,65+,New
C00344,382820,Male,36-45,Returning
C00345,723130,Female,46-55,Loyal
C00346,689551,Male,26-35,New
C00347,700005,Male,36-45,New
C00348,600099,Female,36-45,Loyal
C00349,148025,Female,36-45,Returning
C00350,388215,Male,36-45,New
C00351,637014,Male,36-45,New
C00352,741167,Male,46-55,Returning
C00353,483332,Male,56-65,Returning
C00354,591221,Female,46-55,Returning
C00355,783384,Female,46-55,Returning
C00356,680611,Female,46-55,Loyal
C00357,523336,Male,26-35,New
C00358,413007,Female,26-35,Loyal
C00359,686102,Male,36-45,New
C00360,388365,Female,26-35,Loyal
C00361,504109,Female,36-45,New
C00362,680664,Male,36-45,Returning
C00363,400067,Male,46-55,Returning
C00364,591240,Male,26-35,New
C00365,415312,Male,56-65,Returning
C00366,387330,Male,36-45,New
C00367,431121,Male,46-55,New
C00368,247120,Female,56-65,Returning
C00369,574228,Male,65+,New
C00370,140413,Male,26-35,New
C00371,416605,Male,46-55,Returning
C00372,636141,Female,18-25,Loyal
C00373,202125,Male,26-35,Loyal
C00374,144021,Female,46-55,Returning
C00375,110055,Male,26-35,Returning
C00376,533102,Female,46-55,Returning
C00377,583285,Male,36-45,Returning
C00378,132107,Female,36-45,Loyal
C00379,781365,Male,26-35,Returning
C00380,144407,Female,46-55,Returning
C00381,624802,Male,46-55,New
C00382,785622,Female,18-25,Returning
C00383,635752,Male,36-45,New
C00384,276136,Female,36-45,Returning
C00385,276288,Male,36-45,Loyal
C00386,145024,Male,36-45,Returning
C00387,825418,Male,46-55,New
C00388,573117,Female,36-45,New
C00389,788710,Male,46-55,Returning
C00390,221603,Male,46-55,Returning
C00391,384120,Female,36-45,Returning
C00392,322701,Male,36-45,New
C00393,734002,Male,26-35,New
C00394,721642,Male,46-55,Returning
C00395,635116,Male,46-55,Returning
C00396,249127,Male,26-35,New
C00397,486005,Male,18-25,Loyal
C00398,242127,Male,26-35,Loyal
C00399,110084,Male,18-25,New
C00400,798616,Male,46-55,Returning
C00401,783325,Male,36-45,New
C00402,413102,Female,26-35,New
C00403,332026,Female,18-25,New
C00404,456664,Female,26-35,New
C00405,431120,Male,36-45,Returning
C00406,413001,Female,46-55,Loyal
C00407,521261,Female,46-55,Returning
C00408,744304,Female,18-25,New
C00409,202002,Male,26-35,New
C00410,757107,Female,46-55,New
C00411,534134,Female,36-45,Returning
C00412,383460,Female,18-25,New
C00413,573137,Female,26-35,New
C00414,274704,Male,36-45,New
C00415,804404,Male,26-35,New
C00416,770012,Male,26-35,New
C00417,841204,Female,18-25,New
C00418,181111,Male,65+,Returning
C00419,782127,Male,18-25,New
C00420,532460,Male,26-35,New
C00421,600126,Male,36-45,New
C00422,431002,Male,26-35,Returning
C00423,670674,Female,18-25,New
C00424,515701,Male,36-45,Returning
C00425,574244,Male,65+,New
C00426,712121,Male,36-45,New
C00427,766020,Female,36-45,New
C00428,421301,Female,36-45,New
C00429,630201,Male,26-35,New
C00430,743123,Male,36-45,New
C00431,177105,Male,46-55,New
C00432,193221,Male,26-35,New
C00433,624708,Male,36-45,Loyal
C00434,533216,Female,26-35,Returning
C00435,475675,Female,26-35,New
C00436,456221,Female,36-45,Loyal
C00437,389260,Male,36-45,New
C00438,421005,Female,26-35,New
C00439,363510,Male,56-65,New
C00440,401607,Male,46-55,New
C00441,524304,Female,36-45,New
C00442,306302,Male,26-35,Returning
C00443,523227,Female,56-65,Loyal
C00444,506132,Male,36-45,Returning
C00445,523367,Male,56-65,Returning
C00446,110095,Male,26-35,New
C00447,711404,Male,65+,Returning
C00448,192101,Female,36-45,Returning
C00449,160102,Male,46-55,Loyal
C00450,736202,Male,36-45,New
C00451,851115,Female,26-35,New
C00452,614628,Female,46-55,Returning
C00453,533436,Male,46-55,New
C00454,261201,Male,36-45,Returning
C00455,524303,Male,26-35,New
C00456,785683,Male,18-25,Returning
C00457,761013,Female,36-45,New
C00458,326514,Male,36-45,Returning
C00459,781376,Male,26-35,New
C00460,823002,Female,26-35,New
C00461,754143,Female,36-45,New
C00462,382850,Female,46-55,Returning
C00463,793105,Female,26-35,New
C00464,523183,Male,36-45,New
C00465,517423,Male,26-35,Loyal
C00466,274602,Male,46-55,Loyal
C00467,802157,Female,36-45,New
C00468,413209,Male,18-25,New
C00469,841446,Male,46-55,New
C00470,518422,Female,46-55,Returning
C00471,244901,Male,36-45,Returning
C00472,534265,Male,26-35,Returning
C00473,123029,Female,56-65,New
C00474,389155,Male,36-45,Returning
C00475,521322,Male,18-25,Returning
C00476,411022,Male,26-35,Returning
C00477,606811,Male,36-45,Returning
C00478,521101,Female,36-45,Returning
C00479,721432,Male,46-55,New
C00480,754244,Female,36-45,Returning
C00481,523169,Male,18-25,New
C00482,143527,Male,46-55,New
C00483,413212,Male,36-45,Loyal
C00484,800010,Female,36-45,New
C00485,802208,Male,36-45,Returning
C00486,475220,Male,36-45,Returning
C00487,522002,Male,36-45,Loyal
C00488,756130,Male,18-25,Returning
C00489,577426,Male,46-55,Returning
C00490,144405,Male,36-45,Loyal
C00491,413401,Male,36-45,Returning
C00492,143102,Female,26-35,Returning
C00493,735212,Female,46-55,New
C00494,413409,Male,26-35,New
C00495,712302,Male,36-45,New
C00496,312602,Male,18-25,New
C00497,533440,Male,26-35,New
C00498,799288,Female,36-45,New
C00499,533428,Male,36-45,Returning
C00500,637101,Female,18-25,New
C00501,204212,Male,36-45,Returning
C00502,630602,Male,36-45,New
C00503,788009,Female,56-65,New
C00504,670501,Male,36-45,New
C00505,488051,Female,65+,Returning
C00506,424307,Female,36-45,Loyal
C00507,781309,Male,26-35,Returning
C00508,362140,Male,36-45,Loyal
C00509,383340,Male,46-55,Returning
C00510,416507,Male,65+,Returning
C00511,505451,Female,18-25,Returning
C00512,400005,Male,26-35,New
C00513,502318,Female,56-65,Loyal
C00514,505331,Male,36-45,Loyal
C00515,621311,Male,46-55,New
C00516,584140,Female,36-45,Loyal
C00517,388410,Female,46-55,New
C00518,383335,Female,46-55,Returning
C00519,524127,Male,36-45,Returning
C00520,174310,Female,18-25,New
C00521,754037,Male,36-45,Returning
C00522,695581,Male,26-35,New
C00523,505209,Male,56-65,Loyal
C00524,152002,Male,46-55,Loyal
C00525,815353,Male,36-45,New
C00526,461115,Male,36-45,New
C00527,415605,Male,46-55,New
C00528,110076,Male,56-65,New
C00529,523371,Male,18-25,New
C00530,403530,Female,26-35,New
C00531,506365,Female,26-35,Returning
C00532,798613,Male,18-25,Returning
C00533,121101,Male,36-45,Loyal
C00534,581120,Female,18-25,New
C00535,152107,Female,46-55,Returning
C00536,209732,Female,46-55,Returning
C00537,229210,Female,26-35,Returning
C00538,800010,Male,36-45,Returning
C00539,110074,Male,36-45,New
C00540,392210,Female,46-55,Loyal
C00541,243407,Male,26-35,New
C00542,176310,Female,65+,Returning
C00543,244712,Female,26-35,Returning
C00544,176214,Male,56-65,New
C00545,524127,Male,56-65,New
C00546,416416,Female,56-65,New
C00547,683579,Female,26-35,Returning
C00548,792123,Male,56-65,Returning
C00549,743128,Male,26-35,Returning
C00550,416213,Male,36-45,Returning
C00551,452006,Male,36-45,Returning
C00552,505102,Male,56-65,Returning
C00553,571109,Male,56-65,New
C00554,591265,Male,26-35,New
C00555,517551,Male,46-55,New
C00556,390024,Male,46-55,New
C00557,505331,Female,36-45,New
C00558,522412,Male,36-45,New
C00559,680687,Male,26-35,New
C00560,590006,Male,36-45,New
C00561,733126,Female,18-25,Returning
C00562,231206,Male,18-25,Loyal
C00563,586205,Male,46-55,New
C00564,143107,Male,18-25,New
C00565,305003,Female,46-55,New
C00566,388001,Male,56-65,New
C00567,624616,Male,36-45,Returning
C00568,283142,Male,26-35,New
C00569,123401,Male,26-35,New
C00570,756041,Male,26-35,Returning
C00571,127046,Male,36-45,New
C00572,695305,Male,26-35,New
C00573,505302,Female,36-45,New
C00574,571315,Male,36-45,Returning
C00575,224208,Male,36-45,New
C00576,803107,Male,46-55,Returning
C00577,385421,Female,18-25,New
C00578,506223,Male,36-45,New
C00579,793101,Male,36-45,New
C00580,673504,Male,18-25,New
C00581,530002,Female,36-45,New
C00582,281404,Male,46-55,New
C00583,431137,Male,36-45,Returning
C00584,678104,Male,36-45,New
C00585,145023,Male,18-25,Loyal
C00586,492001,Male,56-65,New
C00587,621214,Male,46-55,New
C00588,670731,Male,26-35,Returning
C00589,781373,Female,36-45,Returning
C00590,601102,Female,26-35,New
C00591,508355,Female,26-35,New
C00592,496245,Male,46-55,New
C00593,521151,Female,18-25,Returning
C00594,583217,Male,46-55,New
C00595,764041,Male,36-45,New
C00596,805102,Male,26-35,New
C00597,534146,Male,46-55,Returning
C00598,263128,Female,18-25,Returning
C00599,231314,Female,36-45,New
C00600,132104,Male,36-45,New
C00601,733124,Female,56-65,New
C00602,391156,Male,18-25,Returning
C00603,209307,Male,26-35,Returning
C00604,829130,Male,26-35,Loyal
C00605,784165,Male,36-45,New
C00606,626129,Female,26-35,New
C00607,522341,Male,36-45,New
C00608,713361,Male,36-45,Loyal
C00609,571115,Female,46-55,New
C00610,625009,Male,36-45,New
C00611,242226,Female,46-55,Loyal
C00612,412208,Male,26-35,Loyal
C00613,494447,Male,18-25,Loyal
C00614,670106,Male,36-45,New
C00615,126110,Female,65+,Loyal
C00616,583119,Male,46-55,Loyal
C00617,136044,Female,36-45,New
C00618,642003,Male,36-45,New
C00619,274508,Male,26-35,Loyal
C00620,787031,Male,36-45,Loyal
C00621,755027,Male,46-55,New
C00622,845419,Female,36-45,New
C00623,631001,Male,26-35,Returning
C00624,483501,Female,36-45,Returning
C00625,764059,Male,36-45,New
