review_id,order_id,review_score,review_comment_message,review_date
R00001,O41195,5,No comment,
R00002,O29304,5,Order cancelled by the seller.,
R00003,O57427,5,Payment issue led to cancellation.,
R00004,O12705,5,No comment,2022-10-22
R00005,O43324,1,No comment,
R00006,O65746,5,Very satisfied with the purchase.,2025-07-06
R00007,O85330,5,Great product and quick delivery.,2023-10-04
R00008,O66296,5,No comment,2024-03-07
R00009,O00980,2,Delivery was delayed and support was unhelpful.,
R00010,O14925,5,Product as described. Good value.,2023-05-14
R00011,O65251,4,No comment,2022-02-12
R00012,O12066,5,Very satisfied with the purchase.,2023-08-13
R00013,O47360,5,Order was cancelled shortly after placing.,
R00014,O31267,5,Product as described. Good value.,2023-07-18
R00015,O82883,5,Very satisfied with the purchase.,
R00016,O48576,3,No comment,2022-08-14
R00017,O88885,5,Product as described. Good value.,2025-04-05
R00018,O07929,1,No comment,2025-10-05
R00019,O46654,5,Product as described. Good value.,2021-10-12
R00020,O38256,5,Great product and quick delivery.,
R00021,O35324,5,No comment,2025-12-07
R00022,O43607,4,Returned due to defects.,
R00023,O29721,5,Great product and quick delivery.,2025-09-16
R00024,O38490,5,No comment,2023-11-06
R00025,O44328,5,No comment,2024-07-23
R00026,O05600,3,No comment,
R00027,O13566,5,No comment,2023-08-09
R00028,O44996,1,No comment,2024-03-02
R00029,O42046,3,No comment,
R00030,O89830,5,No comment,
R00031,O49450,5,Great product and quick delivery.,
R00032,O92734,5,Excellent quality and service.,2021-04-09
R00033,O08437,4,Product as described. Good value.,
R00034,O38046,4,Returned as product did not match description.,
R00035,O62205,5,Excellent quality and service.,2024-01-09
R00036,O35335,3,Packaging was fine. Works as intended.,2024-12-12
R00037,O80031,2,No comment,
R00038,O79610,5,Very satisfied with the purchase.,2022-04-22
R00039,O95463,3,No comment,
R00040,O73380,5,Product as described. Good value.,2024-05-16
R00041,O03861,5,No comment,
R00042,O03253,5,No comment,2021-02-14
R00043,O60981,5,Returned due to defects.,
R00044,O47647,4,No comment,2024-09-02
R00045,O48908,5,Excellent quality and service.,2025-12-15
R00046,O19829,5,No comment,2023-02-10
R00047,O07054,4,No comment,2023-11-14
R00048,O91923,4,Very satisfied with the purchase.,2022-12-09
R00049,O82749,5,No comment,2024-04-19
R00050,O41421,2,No comment,
R00051,O22549,3,No comment,2024-11-10
R00052,O90340,1,Not as described.,2022-07-18
R00053,O11634,5,Very satisfied with the purchase.,
R00054,O60131,5,Product as described. Good value.,2024-09-15
R00055,O95400,5,Great product and quick delivery.,
R00056,O39756,5,Product as described. Good value.,2022-08-11
R00057,O69221,5,Excellent quality and service.,2022-03-14
R00058,O00995,5,Excellent quality and service.,
R00059,O08720,2,No comment,2023-03-16
R00060,O15094,1,Item arrived damaged.,
R00061,O21268,5,Very satisfied with the purchase.,2022-09-16
R00062,O46666,5,No comment,2025-09-11
R00063,O88489,5,Excellent quality and service.,2023-09-16
R00064,O96586,5,Very satisfied with the purchase.,2025-04-11
R00065,O64175,5,No comment,2023-04-02
R00066,O80254,5,No comment,
R00067,O58986,5,No comment,
R00068,O15144,4,No comment,2025-05-14
R00069,O81641,1,Disappointed with the quality.,
R00070,O28222,5,Great product and quick delivery.,2025-05-11
R00071,O16993,3,No comment,
R00072,O77251,4,Excellent quality and service.,2021-11-18
R00073,O48868,5,No comment,
R00074,O29442,4,Very satisfied with the purchase.,
R00075,O72667,1,No comment,
R00076,O15310,4,No comment,
R00077,O80048,4,Product as described. Good value.,
R00078,O67237,5,Great product and quick delivery.,2022-02-11
R00079,O38902,5,Product as described. Good value.,2022-04-04
R00080,O80267,5,Product as described. Good value.,2023-06-25
R00081,O46677,5,No comment,2022-08-02
R00082,O38324,4,No comment,
R00083,O02125,5,No comment,
R00084,O08853,3,Packaging was fine. Works as intended.,2023-09-05
R00085,O08428,1,Item arrived damaged.,2023-10-22
R00086,O04867,1,No comment,
R00087,O68428,5,Product as described. Good value.,2023-04-10
R00088,O59863,5,No comment,
R00089,O18092,3,No comment,2021-10-22
R00090,O35221,5,No comment,
R00091,O50419,3,No comment,2024-10-12
R00092,O92579,5,Product as described. Good value.,2023-10-07
R00093,O11255,5,Product as described. Good value.,2022-01-10
R00094,O67159,4,No comment,2022-09-16
R00095,O41721,4,No comment,
R00096,O00667,5,Very satisfied with the purchase.,2022-05-20
R00097,O55103,4,Excellent quality and service.,2025-12-13
R00098,O20810,1,Delivery was delayed and support was unhelpful.,
R00099,O47842,2,No comment,
R00100,O64566,5,No comment,
R00101,O24100,5,No comment,2021-07-11
R00102,O18546,5,No comment,
R00103,O90986,4,No comment,2023-01-16
R00104,O85822,5,No comment,
R00105,O24941,5,Excellent quality and service.,2024-09-09
R00106,O79166,5,No comment,
R00107,O78018,5,Excellent quality and service.,
R00108,O85581,4,Initiated return; refund received.,2025-02-10
R00109,O09744,1,No comment,2021-04-05
R00110,O39481,5,Product as described. Good value.,
R00111,O96652,5,Great product and quick delivery.,2025-10-03
R00112,O65693,3,Initiated return; refund received.,2024-07-07
R00113,O82496,4,Product as described. Good value.,2024-07-26
R00114,O57423,5,No comment,2023-08-13
R00115,O40227,3,Packaging was fine. Works as intended.,2024-09-13
R00116,O38137,5,Product as described. Good value.,
R00117,O52369,5,Very satisfied with the purchase.,2023-09-04
R00118,O32580,5,Very satisfied with the purchase.,
R00119,O95982,5,Order was cancelled shortly after placing.,2025-12-16
R00120,O24744,5,Product as described. Good value.,
R00121,O52194,5,No comment,2023-10-13
R00122,O91330,5,No comment,2025-07-07
R00123,O65675,1,Not as described.,2025-10-15
R00124,O58729,4,No comment,2023-06-20
R00125,O74206,1,Not as described.,
R00126,O97323,5,Product as described. Good value.,
R00127,O42533,4,Great product and quick delivery.,2022-03-11
R00128,O98906,2,No comment,
R00129,O89693,1,Item arrived damaged.,
R00130,O56476,5,No comment,
R00131,O82822,3,No comment,
R00132,O73591,5,No comment,2021-11-17
R00133,O14157,5,Very satisfied with the purchase.,2021-12-14
R00134,O25103,4,Great product and quick delivery.,2025-03-13
R00135,O26128,5,No comment,2022-05-09
R00136,O46267,1,Disappointed with the quality.,2021-06-20
R00137,O72738,5,Great product and quick delivery.,
R00138,O91434,5,No comment,2024-10-05
R00139,O74080,5,No comment,
R00140,O67419,1,Item arrived damaged.,2022-10-20
R00141,O90498,5,No comment,
R00142,O63707,5,Excellent quality and service.,
R00143,O39754,5,Product as described. Good value.,
R00144,O47159,5,Great product and quick delivery.,
R00145,O90174,5,Cancelled due to change of mind.,
R00146,O68906,4,Excellent quality and service.,
R00147,O26990,4,No comment,
R00148,O36681,5,Very satisfied with the purchase.,2022-03-16
R00149,O02559,5,Very satisfied with the purchase.,2024-05-22
R00150,O90497,1,No comment,
R00151,O22161,5,Very satisfied with the purchase.,2025-08-07
R00152,O91281,5,No comment,
R00153,O38323,2,No comment,
R00154,O83322,5,Very satisfied with the purchase.,
R00155,O12370,1,Delivery was delayed and support was unhelpful.,2023-06-15
R00156,O66904,5,No comment,
R00157,O24748,4,Very satisfied with the purchase.,2023-05-20
R00158,O87142,5,Very satisfied with the purchase.,2023-10-13
R00159,O07800,5,Product as described. Good value.,
R00160,O47399,5,No comment,
R00161,O20542,1,Item arrived damaged.,
R00162,O90440,5,Great product and quick delivery.,
R00163,O37225,4,Excellent quality and service.,2023-03-15
R00164,O78274,1,Item arrived damaged.,
R00165,O31464,5,Great product and quick delivery.,
R00166,O77468,4,Returned as product did not match description.,
R00167,O43165,5,No comment,
R00168,O89097,5,Product as described. Good value.,2024-12-11
R00169,O77989,4,No comment,
R00170,O69480,5,Very satisfied with the purchase.,
R00171,O33130,4,Did not fit the requirement; returned.,2025-07-11
R00172,O35331,5,No comment,
R00173,O60098,4,No comment,
R00174,O66293,5,Great product and quick delivery.,2023-09-07
R00175,O84654,3,No comment,2024-01-15
R00176,O63639,1,No comment,2022-10-07
R00177,O82662,5,No comment,2025-08-08
R00178,O83449,5,Excellent quality and service.,2024-02-09
R00179,O55021,5,No comment,
R00180,O24549,5,Great product and quick delivery.,2025-10-19
R00181,O87860,5,No comment,
R00182,O15781,5,No comment,2025-08-13
R00183,O86821,5,Great product and quick delivery.,2025-11-01
R00184,O11568,4,No comment,
R00185,O86531,5,Product as described. Good value.,
R00186,O39164,5,Excellent quality and service.,
R00187,O57676,4,Excellent quality and service.,
R00188,O86094,1,No comment,2025-02-13
R00189,O99120,5,No comment,2023-10-17
R00190,O25317,4,Very satisfied with the purchase.,2023-01-10
R00191,O62802,5,No comment,2021-09-18
R00192,O00959,4,Very satisfied with the purchase.,
R00193,O04373,2,Disappointed with the quality.,2025-10-10
R00194,O99141,5,Product as described. Good value.,
R00195,O68174,3,No comment,2023-05-23
R00196,O13193,3,Packaging was fine. Works as intended.,2024-02-19
R00197,O90531,5,No comment,
R00198,O52232,5,Excellent quality and service.,
R00199,O55362,3,Packaging was fine. Works as intended.,
R00200,O28460,4,Cancelled due to change of mind.,
R00201,O74445,5,Excellent quality and service.,2022-12-21
R00202,O58530,5,No comment,
R00203,O04353,5,No comment,2023-03-18
R00204,O59147,2,Item arrived damaged.,2021-12-18
R00205,O14694,1,No comment,2023-04-17
R00206,O50423,4,Very satisfied with the purchase.,
R00207,O53587,2,No comment,
R00208,O38935,5,Excellent quality and service.,2024-05-10
R00209,O51835,2,No comment,2025-11-12
R00210,O52745,5,Product as described. Good value.,2021-05-18
R00211,O18215,5,No comment,
R00212,O60668,5,No comment,
R00213,O49145,3,No comment,
R00214,O44859,5,Very satisfied with the purchase.,2024-01-07
R00215,O49923,5,No comment,
R00216,O13521,5,No comment,2024-06-09
R00217,O11073,2,No comment,2022-08-12
R00218,O53514,2,No comment,2025-02-05
R00219,O04784,5,No comment,
R00220,O68585,4,No comment,2023-10-18
R00221,O69121,4,No comment,2025-10-10
R00222,O98563,5,No comment,
R00223,O43027,5,No comment,2022-11-09
R00224,O74935,5,No comment,
R00225,O24510,4,Initiated return; refund received.,
R00226,O54337,5,Very satisfied with the purchase.,
R00227,O04527,1,No comment,
R00228,O23432,5,Excellent quality and service.,2022-06-21
R00229,O13630,5,Product as described. Good value.,
R00230,O08882,1,No comment,2021-12-16
R00231,O51394,2,Disappointed with the quality.,2025-08-08
R00232,O07081,4,Great product and quick delivery.,
R00233,O86659,5,No comment,
R00234,O00162,5,Returned as product did not match description.,2024-03-11
R00235,O81425,5,Very satisfied with the purchase.,
R00236,O89158,5,Excellent quality and service.,2021-12-05
R00237,O66522,5,Returned as product did not match description.,
R00238,O16284,5,No comment,
R00239,O90996,1,No comment,
